[2025-04-29T20:43:39.498+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:43:39.515+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [queued]>
[2025-04-29T20:43:39.522+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [queued]>
[2025-04-29T20:43:39.523+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:43:39.540+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:43:38.495539+00:00
[2025-04-29T20:43:39.547+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=649) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:43:39.751+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.751+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.753+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.753+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.755+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.755+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.757+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.757+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.759+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.759+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.760+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:39.761+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-22 00:00:00
[2025-04-29T20:43:39.762+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:39.762+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-15 00:00:00
[2025-04-29T20:43:39.764+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:39.764+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-08 00:00:00
[2025-04-29T20:43:39.765+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:39.766+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-01 00:00:00
[2025-04-29T20:43:39.767+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.768+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.769+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.769+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.771+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.771+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.773+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.773+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.775+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.775+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.777+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.777+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.779+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.780+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.782+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-29 00:00:00: missing
